Comment,Designator,Footprint,LCSC Part #
2.7nF,C13,C0402,
10nF,C20,C0805,
10uF,C7 C12,C0402,
10uF,C16,C0805,
10uF,C22,C0402,
15.8k,R8,R0402,
18k,R4,R0402,
22.1k,R7,R0402,
22uF,C3 C4 C10 C11 C14 C18 C23,C0402,
39k,R24,R0402,
56pF,C2,C0402,
100nF,C1 C5 C6 C8 C15,C0402,
100nF,C17,C0805,
100nF,C19,C0402,
100pF,C9 C21,C0402,
115k,R6,R0402,
200k,R9 R23,R0402,
249k,R3,R0402,
0407006.WRA,F1,FUSC3216X98N,
AP63200WU-7,REG5V REG12V,TSOT26,
AP64500SP-13,IC1,SOIC127P600X163-9N,
VLS4015CX-100M-H,L1 L2 L3,VLS4015,
691214110002,J1 J2 J3 J5,691214110002
PINHEAD_2X8_2.54_MAL,X1,PINHEAD_2X8_2.54_MAL
