Designator,Mid X,Mid Y,Layer,Rotation
C1,11.00,26.50,Top,270.0
C2,16.00,23.50,Top,270.0
C3, 7.00, 4.00,Top,90.0
C4, 7.50,22.00,Top,270.0
C5,18.00,28.00,Top,180.0
C6,12.00,15.00,Top,270.0
C7,18.00,26.00,Top,180.0
C8,33.50,23.50,Top,0.0
C9,23.50,28.00,Top,180.0
C10, 9.00, 4.00,Top,90.0
C11, 9.50,22.00,Top,270.0
C12,30.50,21.50,Top,90.0
C13,25.17,25.01,Top,0.0
C14,44.00,17.00,Top,90.0
C15,28.00,22.00,Top,90.0
C16,16.50,17.50,Top,90.0
C17,19.43,17.44,Top,90.0
C18,42.00,17.00,Top,90.0
C19, 9.00, 7.00,Top,0.0
C20,22.28,17.44,Top,90.0
C21,12.00,11.50,Top,0.0
C22,10.00,15.00,Top,270.0
C23,40.00,17.00,Top,90.0
F1,26.38,16.21,Top,90.0
IC1,31.25,27.31,Top,180.0
L1,16.31, 5.05,Top,270.0
L2, 7.81,26.94,Top,270.0
L3,33.84,19.56,Top,270.0
R3,14.50,23.50,Top,270.0
R4,12.87,23.53,Top,90.0
R6,23.50,29.50,Top,180.0
R7,23.50,26.50,Top,0.0
R8,26.00,27.50,Top,90.0
R9,36.00,28.50,Top,90.0
R23,12.00,10.00,Top,0.0
R24,12.21, 8.37,Top,180.0
REG5V, 8.29,10.46,Top,180.0
REG12V,14.34,27.99,Top,90.0
J1,-2.5,8.5,Top,270.0
J2,-2.5,27.0,Top,270.0
J3,45.0,23.5,Top,90.0
J5,45.0,5.0,Top,90.0
X1,29.1,7.1,Top,180.0
